960,0,0.97,-0.12,-14,0.06,-2.06,359.69,-1.19,0.88
1001,0,0.98,-0.34,-8.25,-5.25,-3.44,359.81,-0.94,1.31
1043,0,1.15,-0.3,3.25,0.06,5.44,359.75,-0.88,1.31
1084,0,1.46,-0.31,-2.63,-4.75,1,359.63,-0.75,1.25
1125,0,-0.06,0,-8.81,2.44,-1.37,320.75,14.56,-173.31
1166,-0.41,-0.34,0,-2.06,1.06,-1.94,320.69,14.69,-173.13
1207,-0.18,-0.11,-0.02,9.88,-7,3.88,320.75,14.5,-173.38
1247,0.05,0.44,-0.18,5.5,-2.5,5.13,320.94,14.38,-173.75
1291,0.08,0.17,-0.02,-5.13,1.25,-1.37,320.94,14.31,-173.69
1331,-0.31,-0.06,0.07,-5.94,6.75,3.38,321.06,14.56,-173.44
1370,-0.41,-0.13,0.15,-1.31,1,3.25,321.19,14.69,-173.38
1410,-0.31,0,-0.02,-1.81,-2.69,3.19,321.31,14.56,-173.38
1448,0.04,-0.01,-0.07,-4.69,-2.44,2.5,321.44,14.44,-173.25
1488,-0.09,-0.26,0.06,-4.69,0.69,3.69,321.56,14.44,-173.13
1528,-0.23,-0.3,-0.04,-6.5,-2.13,1,321.75,14.44,-172.94
1568,0.15,-0.29,-0.29,-1.5,-4.69,1.69,321.81,14.25,-172.88
1607,0.06,-0.09,-0.04,1.19,5.63,4.13,322,14.38,-173
1652,-0.27,-0.16,-0.02,-4.13,1.69,-1.31,322.06,14.5,-172.94
1693,-0.12,-0.22,-0.05,-0.06,-1.25,1.44,322.06,14.5,-172.88
1732,-0.11,0.05,-0.06,1.31,0.37,2,322.13,14.44,-172.94
1771,-0.24,0,0.16,0.06,0,0.75,322.19,14.44,-173
1811,-0.01,0,0.07,-2.06,-1.88,-0.44,322.19,14.38,-172.94
1851,-0.06,0.06,0.03,-1,0.63,-0.5,322.13,14.31,-172.88
1891,-0.16,0.06,0.02,-2.75,1.75,2.75,322.25,14.38,-172.81
1931,-0.08,-0.07,0.03,-5.81,0.19,-2.88,322.25,14.38,-172.63
1974,-0.07,-0.02,-0.04,-3.5,2.31,2.44,322.25,14.44,-172.44
2014,-0.27,-0.13,-0.05,-6.81,1.94,2.5,322.38,14.56,-172.31
2053,-0.21,-0.22,0.07,-4.75,-5.38,1.06,322.44,14.38,-172.06
2093,0.32,0.04,-0.12,0.88,-7.13,5.81,322.63,14.13,-172.13
2132,0.18,0.08,-0.09,-5.06,1.69,4.56,322.88,14.06,-172.13
2173,-0.19,-0.19,0.14,-13.44,6.56,-4.06,322.88,14.25,-171.69
2212,-0.15,-0.21,0.31,-8.44,4.5,0.5,322.81,14.44,-171.19
2253,-0.66,-0.37,1.75,5.94,15.06,-1.12,322.94,14.88,-171.38
2293,-2.71,-0.367329545,7.49,105.19,-0.63,17.81,322.88,15.25,-173.63
2337,-2.58,-0.392894385,8.2,109.37,-12,14.31,323,14.94,-178
2378,-2.46,-0.418459225,8.9,109.87,-12.94,7.5,322.81,14.44,177.63
2417,-2.48,-0.444024064,9.49,107.75,-5.81,5.25,322.5,14.06,173.31
2457,-2.5,-0.469588904,10.01,105.56,5.63,6.31,322.19,14.06,169.19
2497,-2.57,-0.495153743,10.42,103.25,16.69,6.69,322,14.5,165.06
2536,-2.7,-0.520718583,10.74,101.75,24.94,5.63,321.88,15.25,160.94
2576,-2.87,-0.546283422,11.01,102.06,27.81,4.81,321.69,16.19,156.88
2615,-3.05,-0.571848262,11.16,105.5,26.06,5.5,321.5,17,152.63
2659,-3.2,-0.597413102,11.24,109.87,21.69,6.19,321.31,17.69,148.25
2700,-3.32,-0.622977941,11.19,113.56,17.25,4.94,321,18.19,143.69
2742,-3.4,-0.648542781,11.11,116.19,15.06,3.38,193.94,18.62,137.94
2784,-3.45,-0.67410762,10.98,117.75,14.69,4.38,191.25,18.87,134.38
2824,-3.56,-0.69967246,10.52,119.75,16.37,6.44,188.06,19.12,129.56
2863,-3.67,-0.725237299,10.11,121.19,18.44,9.69,184.75,19.25,123.37
2905,-3.63,-0.750802139,9.85,122.56,21.5,14.81,182.44,19.25,118.31
2946,-3.77,-0.776366979,9.04,124.62,23.69,20.19,180.38,19,113.12
2987,-3.6,-0.801931818,8.74,127.87,22.5,24.87,178.31,18.5,107.81
3031,-3.52,-0.827496658,8.15,130.38,18.81,31.31,176.06,17.62,102.5
3069,-3.5,-0.853061497,7.62,132.38,15.44,40.19,173.56,16.31,97.12
3108,-7.06,-29.73,-62.2,137,5.44,57.88,170.69,14.5,91.75
3148,10.02,-25.32,-20.9,416,24.19,-822.31,176.38,24.69,84.56
3188,2.65,-10.19,-17.51,52.5,-257.94,-1155,210.88,66.12,76.44
3229,-9,-3.48,-2.15,-74.81,-177.81,-1324.38,265.13,62.06,-96
